[base]
code = aa,2012-12-08 10:36:41,sifang,南瑞科技NSR-303N_AH,,,,,00000000,
19,10,27,10,1,0,0,0,6,定值校验出错告警
19,11,27,11,1,0,0,0,6,出口传动测试
19,12,27,12,1,0,0,0,6,FPGA开出异常告警
19,13,27,13,1,0,0,0,6,跳合出口异常告警
19,14,27,14,1,0,0,0,6,光耦电源异常告警
19,15,27,15,1,0,0,0,6,零序长期启动告警
19,16,27,16,1,0,0,0,6,装置长期启动告警
19,17,27,17,1,0,0,0,6,跳闸位置异常告警
19,18,27,18,1,0,0,0,6,PT断线告警
19,19,27,19,1,0,0,0,6,CT断线告警
19,20,27,20,1,0,0,0,6,同期电压异常
19,21,27,21,1,0,0,0,6,远跳异常
19,22,27,22,1,0,0,0,6,通道自环设置告警
19,23,27,23,1,0,0,0,6,本侧CT断线告警
19,24,27,24,1,0,0,0,6,对侧CT断线告警
19,25,27,25,1,0,0,0,6,通道一补偿参数错
19,26,27,26,1,0,0,0,6,通道一长期有差流
19,27,27,27,1,0,0,0,6,通道一两侧纵差投入不一致
19,28,27,28,1,0,0,0,6,通道一识别码接收错
19,29,27,29,1,0,0,0,6,通道一异常
19,30,27,30,1,0,0,0,6,通道一无有效帧
19,31,27,31,1,0,0,0,6,通道一差动退出
19,32,27,32,1,0,0,0,6,通道一严重误码
19,33,27,33,1,0,0,0,6,通道一连接错误
19,34,27,34,1,0,0,0,6,通道一应用层校验错
19,35,27,35,1,0,0,0,6,通道一延时越界
19,36,27,36,1,0,0,0,6,通道一光端机通信异常
19,37,27,37,1,0,0,0,6,通道二补偿参数错
19,38,27,38,1,0,0,0,6,通道二长期有差流
19,39,27,39,1,0,0,0,6,通道二两侧纵差投入不一致
19,40,27,40,1,0,0,0,6,通道二识别码接收错
19,41,27,41,1,0,0,0,6,通道二异常
19,42,27,42,1,0,0,0,6,通道二无有效帧
19,43,27,43,1,0,0,0,6,通道二差动退出
19,44,27,44,1,0,0,0,6,通道二严重误码
19,45,27,45,1,0,0,0,6,通道二连接错误
19,46,27,46,1,0,0,0,6,通道二应用层校验错
19,47,27,47,1,0,0,0,6,通道二延时越界
19,48,27,48,1,0,0,0,6,通道二光端机通信异常
20,1,26,1,1,0,0,0,0,闭锁重合闸开出
20,2,26,2,1,0,0,0,0,重合闸充电完成
20,3,26,3,1,0,0,0,0,收远跳
20,4,26,4,1,0,0,0,0,通道一收远跳
20,5,26,5,1,0,0,0,0,通道二收远跳
20,6,26,6,1,0,0,0,0,对侧通道一差动投入
20,7,26,7,1,0,0,0,0,对侧通道二差动投入
20,8,26,8,1,0,0,0,0,通道一收加速三跳
20,9,26,9,1,0,0,0,0,通道二收加速三跳
21,1,25,1,1,0,0,0,0,启动打印
21,2,25,2,1,0,0,0,0,信号复归
21,3,25,3,1,0,0,0,0,保护检修投入
21,4,25,4,1,0,0,0,0,通道一纵差保护投入
21,5,25,5,1,0,0,0,0,通道二纵差保护投入
21,6,25,6,1,0,0,0,0,距离保护投入
21,7,25,7,1,0,0,0,0,零序保护投入
21,8,25,8,1,0,0,0,0,重合闸方式开入1
21,9,25,9,1,0,0,0,0,重合闸方式开入2
21,10,25,10,1,0,0,0,0,闭锁重合闸
21,11,25,11,1,0,0,0,0,远方跳闸
21,12,25,12,1,0,0,0,0,过流保护投入
21,13,25,13,1,0,0,0,0,A相跳闸位置
21,14,25,14,1,0,0,0,0,B相跳闸位置
21,15,25,15,1,0,0,0,0,C相跳闸位置
21,16,25,16,1,0,0,0,0,压力低闭锁重合闸
21,17,25,17,1,0,0,0,0,通道一纵差保护软压板
21,18,25,18,1,0,0,0,0,通道二纵差保护软压板
21,19,25,19,1,0,0,0,0,距离保护软压板
21,20,25,20,1,0,0,0,0,零序保护软压板
21,21,25,21,1,0,0,0,0,过流保护软压板
21,22,25,22,1,0,0,0,0,停用重合闸软压板
22,1,24,1,1,0,0,0,0,统计开始时间
22,2,24,2,1,0,0,0,0,通道二收信功率
22,3,24,3,1,0,0,0,0,本侧主从机状态
22,4,24,4,1,0,0,0,0,同步调整基准通道
22,5,24,5,1,0,0,0,0,通道二对侧通道号
22,6,24,6,1,0,0,0,0,通道二对侧识别码
22,7,24,7,1,0,0,0,0,通道二延时
22,8,24,8,1,0,0,0,0,通道二误帧总数
22,9,24,9,1,0,0,0,0,通道二报文异常数
22,10,24,10,1,0,0,0,0,通道二无有效帧数
22,11,24,11,1,0,0,0,0,通道二对侧无有效帧数
22,12,24,12,1,0,0,0,0,通道二严重误帧秒
22,13,24,13,1,0,0,0,0,通道二丢帧总数
22,14,24,14,1,0,0,0,0,通道二失步次数
22,15,24,15,1,0,0,0,0,通道二差动退出时间
23,1,21,1,1,0,0,0,0,统计开始时间
23,2,21,2,1,0,0,0,0,通道一收信功率
23,3,21,3,1,0,0,0,0,本侧主从机状态
23,4,21,4,1,0,0,0,0,同步调整基准通道
23,5,21,5,1,0,0,0,0,通道一对侧通道号
23,6,21,6,1,0,0,0,0,通道一对侧识别码
23,7,21,7,1,0,0,0,0,通道一延时
23,8,21,8,1,0,0,0,0,通道一误帧总数
23,9,21,9,1,0,0,0,0,通道一报文异常数
23,10,21,10,1,0,0,0,0,通道一无有效帧数
23,11,21,11,1,0,0,0,0,通道一对侧无有效帧数
23,12,21,12,1,0,0,0,0,通道一严重误帧秒
23,13,21,13,1,0,0,0,0,通道一丢帧总数
23,14,21,14,1,0,0,0,0,通道一失步次数
23,15,21,15,1,0,0,0,0,通道一差动退出时间
[ANA]
