[base]
code = BJ,2010-11-11 14:31:25,sifang,CSC_103,,,,,00000000,
name = 61850接入规约
doc version = v1.40
tool = 1326 config tool
tool version = v1.10
last modified datetime = 2007-1-9 14:27

DIG=内部组号,内部条目号,Type,61850编号,数据类型,sfaddr,YxType,描述
16,106,2,385,ACT,fe0039,1,1CSC103差动发展动作
16,107,2,386,ACT,fe003a,1,1CSC103纵联差动保护动作
16,108,2,387,ACT,fe003b,1,1CSC103差动手合动作
16,109,2,388,ACT,fe003d,1,1CSC103远方跳闸动作
16,110,2,389,ACT,fe003e,1,1CSC103远传命令1开出
16,111,2,390,ACT,fe003f,1,1CSC103远传命令2开出
16,112,2,391,ACT,fe0041,1,1CSC103远传命令1返回
16,113,2,392,ACT,fe0042,1,1CSC103远传命令2返回
16,114,2,393,ACT,fe0044,1,1CSC103差动弱馈启动
16,115,2,394,ACT,fe0045,1,1CSC103差动远方召唤启动
16,116,2,395,ACT,fe0046,1,1CSC103采样失步
16,117,2,396,ACT,fe0047,1,1CSC103采样已同步
16,118,2,397,ACT,fe0048,1,1CSC103通道A通
16,119,2,398,ACT,fe0049,1,1CSC103通道B通
16,120,2,399,ACT,fe004a,1,1CSC103通道A断
16,121,2,400,ACT,fe004b,1,1CSC103通道B断
16,122,2,401,ACT,fe0053,1,1CSC103数据来源通道A
16,123,2,402,ACT,fe0054,1,1CSC103数据来源通道B
16,124,2,403,ACT,fe0057,1,1CSC103三相差动电流
16,125,2,404,ACT,fe0058,1,1CSC103三相制动电流
16,126,2,405,ACT,fe005f,1,1CSC103零序反时限动作
16,127,2,406,ACT,fe0062,1,1CSC103远方跳闸开入
16,128,2,407,ACT,fe0063,1,1CSC103远传命令1开入
16,129,2,408,ACT,fe0064,1,1CSC103远传命令2开入
16,130,2,409,ACT,fe0065,1,1CSC103对侧差动动作
16,131,2,410,ACT,fe0069,1,1CSC103三相不一致动作
16,132,2,411,ACT,fe007e,1,1CSC103故障相电压
16,133,2,412,ACT,fe007f,1,1CSC103故障相电流
16,134,2,413,ACT,fe0008,1,1CSC103距离Ⅱ段加速动作
16,135,2,414,ACT,fe0009,1,1CSC103距离Ⅲ段加速动作
16,136,2,415,ACT,fe000a,1,1CSC103距离手合加速动作
16,137,2,416,ACT,fe000b,1,1CSC103距离相近加速动作
16,138,2,417,ACT,fe000e,1,1CSC103距离Ⅰ段发展动作
16,139,2,418,ACT,fe000f,1,1CSC103距离Ⅱ段发展动作
16,140,2,419,ACT,fe0027,1,1CSC103距离加速动作
16,141,2,420,ACT,fe0011,1,1CSC103测距阻抗
16,142,2,421,ACT,fe0061,1,1CSC103联跳三跳
16,143,2,422,ACT,fe006a,1,1CSC103故障跳三相
16,144,2,423,ACT,fe006b,1,1CSC103故障跳A相
16,145,2,424,ACT,fe006c,1,1CSC103故障跳B相
16,146,2,425,ACT,fe006d,1,1CSC103故障跳C相
16,147,2,426,ACT,fe0013,1,1CSC103零序过流Ⅱ段动作
16,148,2,427,ACT,fe0014,1,1CSC103零序过流Ⅲ段动作
16,149,2,428,ACT,fe001c,1,1CSC103重合闸动作
16,150,2,429,ACT,fe001d,1,1CSC103重合失败
16,151,2,430,ACT,fe001e,1,1CSC103单跳启动重合
16,152,2,431,ACT,fe001f,1,1CSC103三跳启动重合
16,153,2,432,ACT,fe0022,1,1CSC103三跳闭锁重合闸
16,154,2,433,ACT,fe0028,1,1CSC103同期相别改变
16,155,2,434,ACT,fe002a,1,1CSC103单跳闭锁重合闸
16,156,2,435,ACT,fe004c,1,1CSC103闭锁重合闸
16,157,2,436,ACT,fe0066,1,1CSC103低气压闭锁重合闸
16,158,2,437,ACT,fe0067,1,1CSC103闭锁重合闸开入
16,159,2,438,ACT,fe006e,1,1CSC103重合闸未重合
16,160,2,439,ACT,fe006f,1,1CSC103重合不成功
16,161,2,440,ACT,fe0070,1,1CSC103重合成功
16,162,2,441,ACT,fe0020,1,1CSC103单相偷跳启动重合
16,163,2,442,ACT,fe0021,1,1CSC103三相偷跳启动重合
16,164,2,443,ACT,fe0035,1,1CSC103分相差动动作
16,165,2,444,ACT,fe0060,1,1CSC103零序加速段动作
16,166,2,445,ACT,fe0071,1,1CSC103接地距离Ⅰ段动作
16,167,2,446,ACT,fe0072,1,1CSC103接地距离Ⅱ段动作
16,168,2,447,ACT,fe0073,1,1CSC103接地距离Ⅲ段动作
16,169,2,448,ACT,fe0074,1,1CSC103相间距离Ⅰ段动作
16,170,2,449,ACT,fe0075,1,1CSC103相间距离Ⅱ段动作
16,171,2,450,ACT,fe0076,1,1CSC103相间距离Ⅲ段动作
16,172,2,451,ACT,fe0077,1,1CSC103PT断线零序动作
16,173,2,452,ACT,fe0078,1,1CSC103PT断线相过流动作
16,174,0,453,RCDMADE,010001,0,1CSC103录波完成
16,175,0,454,BOOLEAN,010004,0,1CSC103录波启动
255,0,3,65533,BOOLEAN,FF0100,1,事故总
255,1,3,65534,BOOLEAN,FF0200,4,告警总
255,255,3,65535,BOOLEAN,FFFF00,5,装置通讯中断
[ANA]
64,1,1,0.1,60,FLOAT32,fe0101,0,65535,,1CSC103故障测距(公里)
64,2,1,0.1,61,INT32,fe0101,0,65535,,1CSC103故障相别
64,3,1,0.1,62,FLOAT32,020001,0,65535,,1CSC103Ia
64,4,1,0.1,63,FLOAT32,020001,0,65535,,1CSC103Ia
64,5,1,0.1,64,FLOAT32,020002,0,65535,,1CSC103Ib
64,6,1,0.1,65,FLOAT32,020002,0,65535,,1CSC103Ib
64,7,1,0.1,66,FLOAT32,020003,0,65535,,1CSC103Ic
64,8,1,0.1,67,FLOAT32,020003,0,65535,,1CSC103Ic
64,9,1,0.1,68,FLOAT32,020004,0,65535,,1CSC1033I0
64,10,1,0.1,69,FLOAT32,020004,0,65535,,1CSC1033I0
64,11,1,0.1,70,FLOAT32,020005,0,65535,,1CSC103Ua
64,12,1,0.1,71,FLOAT32,020005,0,65535,,1CSC103Ua
64,13,1,0.1,72,FLOAT32,020006,0,65535,,1CSC103Ub
64,14,1,0.1,73,FLOAT32,020006,0,65535,,1CSC103Ub
64,15,1,0.1,74,FLOAT32,020007,0,65535,,1CSC103Uc
64,16,1,0.1,75,FLOAT32,020007,0,65535,,1CSC103Uc
64,17,1,0.1,76,FLOAT32,020008,0,65535,,1CSC1033U0
64,18,1,0.1,77,FLOAT32,020008,0,65535,,1CSC1033U0
64,19,1,0.1,78,FLOAT32,020011,0,65535,,1CSC103P1
64,20,1,0.1,79,FLOAT32,020012,0,65535,,1CSC103Q1
64,21,1,0.1,80,FLOAT32,02000a,0,65535,,1CSC103IaR
64,22,1,0.1,81,FLOAT32,02000a,0,65535,,1CSC103IaR
64,23,1,0.1,82,FLOAT32,02000b,0,65535,,1CSC103IbR
64,24,1,0.1,83,FLOAT32,02000b,0,65535,,1CSC103IbR
64,25,1,0.1,84,FLOAT32,02000c,0,65535,,1CSC103IcR
64,26,1,0.1,85,FLOAT32,02000c,0,65535,,1CSC103IcR
64,27,1,0.1,86,FLOAT32,020009,0,65535,,1CSC103Ux
64,28,1,0.1,87,FLOAT32,020009,0,65535,,1CSC103Ux
64,29,1,0.1,88,FLOAT32,02000d,0,65535,,1CSC1033I0R
64,30,1,0.1,89,FLOAT32,02000d,0,65535,,1CSC1033I0R
64,31,1,0.1,90,FLOAT32,02001f,0,65535,,1CSC103ICa
64,32,1,0.1,91,FLOAT32,020020,0,65535,,1CSC103ICb
64,33,1,0.1,92,FLOAT32,020021,0,65535,,1CSC103ICc
64,34,1,0.1,93,INT32,fe0002,0,65535,,1CSC103故障序号
64,35,1,0.1,94,INT32,fe0003,0,65535,,1CSC103电网故障序号
[CTRL]
128,1,10,1,SPC,fe0100,1CSC103装置复归
128,2,11,0,SPC,060200,1CSC103纵联差动保护
128,3,12,0,SPC,060300,1CSC103停用重合闸
128,4,13,0,SPC,060400,1CSC103远方修改定值
128,5,14,0,SPC,060500,1CSC103保护检修状态
[SET]
144,0,1,0
145,0,1,1
[ZONE]
208,0,1,0
[SET_ELEMENT]
144,1,16,1,0,0,1000,0.01,5,2,A,1CSC103变化量启动电流定值
144,1,16,2,0,0,1000,0.01,5,2,A,1CSC103零序启动电流定值
144,1,16,3,0,0,1000,0.01,5,2,A,1CSC103差动动作电流定值
144,1,16,4,1,0,1000,0.01,5,2,,1CSC103本侧识别码
144,1,16,5,1,0,1000,0.01,5,2,,1CSC103对侧识别码
144,1,16,6,0,0,1000,0.01,5,2,ohm,1CSC103线路正序阻抗定值
144,1,16,7,0,0,1000,0.01,5,2,deg,1CSC103线路正序灵敏角
144,1,16,8,0,0,1000,0.01,5,2,ohm,1CSC103线路零序阻抗定值
144,1,16,9,0,0,1000,0.01,5,2,deg,1CSC103线路零序灵敏角
144,1,16,10,0,0,1000,0.01,5,2,ohm,1CSC103线路正序容抗定值
144,1,16,11,0,0,1000,0.01,5,2,ohm,1CSC103线路零序容抗定值
144,1,16,12,0,0,1000,0.01,5,2,km,1CSC103线路总长度
144,1,16,13,0,0,1000,0.01,5,2,ohm,1CSC103接地距离Ⅰ段定值
144,1,16,14,0,0,1000,0.01,5,2,ohm,1CSC103接地距离Ⅱ段定值
144,1,16,15,0,0,1000,0.01,5,2,s,1CSC103接地距离Ⅱ段时间
144,1,16,16,0,0,1000,0.01,5,2,ohm,1CSC103接地距离Ⅲ段定值
144,1,16,17,0,0,1000,0.01,5,2,s,1CSC103接地距离Ⅲ段时间
144,1,16,18,0,0,1000,0.01,5,2,ohm,1CSC103相间距离Ⅰ段定值
144,1,16,19,0,0,1000,0.01,5,2,ohm,1CSC103相间距离Ⅱ段定值
144,1,16,20,0,0,1000,0.01,5,2,s,1CSC103相间距离Ⅱ段时间
144,1,16,21,0,0,1000,0.01,5,2,ohm,1CSC103相间距离Ⅲ段定值
144,1,16,22,0,0,1000,0.01,5,2,s,1CSC103相间距离Ⅲ段时间
144,1,16,23,0,0,1000,0.01,5,2,ohm,1CSC103负荷限制电阻定值
144,1,16,24,0,0,1000,0.01,5,2,A,1CSC103零序过流Ⅱ段定值
144,1,16,25,0,0,1000,0.01,5,2,s,1CSC103零序过流Ⅱ段时间
144,1,16,26,0,0,1000,0.01,5,2,A,1CSC103零序过流Ⅲ段定值
144,1,16,27,0,0,1000,0.01,5,2,s,1CSC103零序过流Ⅲ段时间
144,1,16,28,0,0,1000,0.01,5,2,A,1CSC103零序过流加速段定值
144,1,16,29,0,0,1000,0.01,5,2,A,1CSC103PT断线相过流定值
144,1,16,30,0,0,1000,0.01,5,2,A,1CSC103PT断线零序过流定值
144,1,16,31,0,0,1000,0.01,5,2,s,1CSC103PT断线过流时间
144,1,16,32,0,0,1000,0.01,5,2,s,1CSC103单相重合闸时间
144,1,16,33,0,0,1000,0.01,5,2,s,1CSC103三相重合闸时间
144,1,16,34,0,0,1000,0.01,5,2,deg,1CSC103同期合闸角
144,1,16,35,0,0,1000,0.01,5,2,ohm,1CSC103电抗器阻抗定值
144,1,16,36,0,0,1000,0.01,5,2,ohm,1CSC103中性点电抗器阻抗定值
144,1,16,37,0,0,1000,0.01,5,2,,1CSC103CT变比系数
144,1,16,38,0,0,1000,0.01,5,2,,1CSC103零序电抗补偿系数KX
144,1,16,39,0,0,1000,0.01,5,2,,1CSC103零序电阻补偿系数KR
144,1,16,40,0,0,1000,0.01,5,2,A,1CSC103振荡闭锁过流
144,1,16,41,0,0,1000,0.01,5,2,A,1CSC103零序差动定值
144,1,16,42,0,0,1000,0.01,5,2,A,1CSC103CT断线后分相差动定值
144,1,16,43,1,0,1000,0.01,5,2,,1CSC103纵联差动保护
144,1,16,44,1,0,1000,0.01,5,2,,1CSC103CT断线闭锁差动
144,1,16,45,1,0,1000,0.01,5,2,,1CSC103通信内时钟(通道A)
144,1,16,46,1,0,1000,0.01,5,2,,1CSC103电压取线路PT电压
144,1,16,47,1,0,1000,0.01,5,2,,1CSC103振荡闭锁元件
144,1,16,48,1,0,1000,0.01,5,2,,1CSC103距离保护Ⅰ段
144,1,16,49,1,0,1000,0.01,5,2,,1CSC103距离保护Ⅱ段
144,1,16,50,1,0,1000,0.01,5,2,,1CSC103距离保护Ⅲ段
144,1,16,51,1,0,1000,0.01,5,2,,1CSC103零序电流保护
144,1,16,52,1,0,1000,0.01,5,2,,1CSC103零序过流Ⅲ段经方向
144,1,16,53,1,0,1000,0.01,5,2,,1CSC103三相跳闸方式
144,1,16,54,1,0,1000,0.01,5,2,,1CSC103重合闸检同期方式
144,1,16,55,1,0,1000,0.01,5,2,,1CSC103重合闸检无压方式
144,1,16,56,1,0,1000,0.01,5,2,,1CSC103Ⅱ段保护闭锁重合闸
144,1,16,57,1,0,1000,0.01,5,2,,1CSC103多相故障闭锁重合闸
144,1,16,58,1,0,1000,0.01,5,2,,1CSC103单相重合闸
144,1,16,59,1,0,1000,0.01,5,2,,1CSC103三相重合闸
144,1,16,60,1,0,1000,0.01,5,2,,1CSC103禁止重合闸
144,1,16,61,1,0,1000,0.01,5,2,,1CSC103停用重合闸
144,1,16,62,1,0,1000,0.01,5,2,,1CSC103快速距离保护
144,1,16,63,1,0,1000,0.01,5,2,,1CSC103电流补偿
144,1,16,64,1,0,1000,0.01,5,2,,1CSC103单相TWJ启动重合闸
144,1,16,65,1,0,1000,0.01,5,2,,1CSC103三相TWJ启动重合闸
144,1,16,66,1,0,1000,0.01,5,2,,1CSC103零序加速段带方向
144,1,16,67,1,0,1000,0.01,5,2,,1CSC103远跳受启动元件控制
144,1,16,68,1,0,1000,0.01,5,2,,1CSC103通道A选择2M速率
144,1,16,69,1,0,1000,0.01,5,2,,1CSC103通道环回试验
145,1,16,1,1,0,1000,0.01,5,2,,1CSC103当前定值区
145,1,16,2,3,0,1000,0.01,5,2,,1CSC103装置地址
145,1,16,3,3,0,1000,0.01,5,2,,1CSC103串口1波特率
145,1,16,4,3,0,1000,0.01,5,2,,1CSC103间隔名称
145,1,16,5,3,0,1000,0.01,5,2,,1CSC103103功能类型
145,1,16,6,3,0,1000,0.01,5,2,,1CSC103对时方式
145,1,16,7,3,0,1000,0.01,5,2,,1CSC103规约类型
145,1,16,8,3,0,1000,0.01,5,2,,1CSC103SOE复归选择
145,1,16,9,3,0,1000,0.01,5,2,,1CSC103以太1网地址
145,1,16,10,3,0,1000,0.01,5,2,,1CSC103以太2网地址
145,1,16,11,0,0,1000,0.01,5,2,A,1CSC103CT一次额定值
145,1,16,12,0,0,1000,0.01,5,2,A,1CSC103CT二次额定值
145,1,16,13,0,0,1000,0.01,5,2,kV,1CSC103PT一次额定值
145,1,16,14,3,0,1000,0.01,5,2,,1CSC103通道类型
[KG_SETs]
[EVENT]
176,1,374,16,95,374,ACT,1CSC103保护动作
176,2,375,16,96,375,ACT,1CSC103保护启动
176,3,376,16,97,376,ACT,1CSC103阻抗元件启动
176,4,377,16,98,377,ACT,1CSC103三相不一致启动
176,5,378,16,99,378,ACT,1CSC103零序辅助启动
176,6,379,16,100,379,ACT,1CSC103静稳失稳启动
176,7,380,16,101,380,ACT,1CSC103保护三跳失败
176,8,381,16,102,381,ACT,1CSC103保护单跳失败
176,9,382,16,103,382,ACT,1CSC103故障测距
176,10,383,16,104,383,ACT,1CSC103零序手合加速动作
176,11,384,16,105,384,ACT,1CSC103零序差动动作
176,12,385,16,106,385,ACT,1CSC103差动发展动作
176,13,386,16,107,386,ACT,1CSC103纵联差动保护动作
176,14,387,16,108,387,ACT,1CSC103差动手合动作
176,15,388,16,109,388,ACT,1CSC103远方跳闸动作
176,16,389,16,110,389,ACT,1CSC103远传命令1开出
176,17,390,16,111,390,ACT,1CSC103远传命令2开出
176,18,391,16,112,391,ACT,1CSC103远传命令1返回
176,19,392,16,113,392,ACT,1CSC103远传命令2返回
176,20,393,16,114,393,ACT,1CSC103差动弱馈启动
176,21,394,16,115,394,ACT,1CSC103差动远方召唤启动
176,22,395,16,116,395,ACT,1CSC103采样失步
176,23,396,16,117,396,ACT,1CSC103采样已同步
176,24,397,16,118,397,ACT,1CSC103通道A通
176,25,398,16,119,398,ACT,1CSC103通道B通
176,26,399,16,120,399,ACT,1CSC103通道A断
176,27,400,16,121,400,ACT,1CSC103通道B断
176,28,401,16,122,401,ACT,1CSC103数据来源通道A
176,29,402,16,123,402,ACT,1CSC103数据来源通道B
176,30,403,16,124,403,ACT,1CSC103三相差动电流
176,31,404,16,125,404,ACT,1CSC103三相制动电流
176,32,405,16,126,405,ACT,1CSC103零序反时限动作
176,33,406,16,127,406,ACT,1CSC103远方跳闸开入
176,34,407,16,128,407,ACT,1CSC103远传命令1开入
176,35,408,16,129,408,ACT,1CSC103远传命令2开入
176,36,409,16,130,409,ACT,1CSC103对侧差动动作
176,37,410,16,131,410,ACT,1CSC103三相不一致动作
176,38,411,16,132,411,ACT,1CSC103故障相电压
176,39,412,16,133,412,ACT,1CSC103故障相电流
176,40,413,16,134,413,ACT,1CSC103距离Ⅱ段加速动作
176,41,414,16,135,414,ACT,1CSC103距离Ⅲ段加速动作
176,42,415,16,136,415,ACT,1CSC103距离手合加速动作
176,43,416,16,137,416,ACT,1CSC103距离相近加速动作
176,44,417,16,138,417,ACT,1CSC103距离Ⅰ段发展动作
176,45,418,16,139,418,ACT,1CSC103距离Ⅱ段发展动作
176,46,419,16,140,419,ACT,1CSC103距离加速动作
176,47,420,16,141,420,ACT,1CSC103测距阻抗
176,48,421,16,142,421,ACT,1CSC103联跳三跳
176,49,422,16,143,422,ACT,1CSC103故障跳三相
176,50,423,16,144,423,ACT,1CSC103故障跳A相
176,51,424,16,145,424,ACT,1CSC103故障跳B相
176,52,425,16,146,425,ACT,1CSC103故障跳C相
176,53,426,16,147,426,ACT,1CSC103零序过流Ⅱ段动作
176,54,427,16,148,427,ACT,1CSC103零序过流Ⅲ段动作
176,55,428,16,149,428,ACT,1CSC103重合闸动作
176,56,429,16,150,429,ACT,1CSC103重合失败
176,57,430,16,151,430,ACT,1CSC103单跳启动重合
176,58,431,16,152,431,ACT,1CSC103三跳启动重合
176,59,432,16,153,432,ACT,1CSC103三跳闭锁重合闸
176,60,433,16,154,433,ACT,1CSC103同期相别改变
176,61,434,16,155,434,ACT,1CSC103单跳闭锁重合闸
176,62,435,16,156,435,ACT,1CSC103闭锁重合闸
176,63,436,16,157,436,ACT,1CSC103低气压闭锁重合闸
176,64,437,16,158,437,ACT,1CSC103闭锁重合闸开入
176,65,438,16,159,438,ACT,1CSC103重合闸未重合
176,66,439,16,160,439,ACT,1CSC103重合不成功
176,67,440,16,161,440,ACT,1CSC103重合成功
176,68,441,16,162,441,ACT,1CSC103单相偷跳启动重合
176,69,442,16,163,442,ACT,1CSC103三相偷跳启动重合
176,70,443,16,164,443,ACT,1CSC103分相差动动作
176,71,444,16,165,444,ACT,1CSC103零序加速段动作
176,72,445,16,166,445,ACT,1CSC103接地距离Ⅰ段动作
176,73,446,16,167,446,ACT,1CSC103接地距离Ⅱ段动作
176,74,447,16,168,447,ACT,1CSC103接地距离Ⅲ段动作
176,75,448,16,169,448,ACT,1CSC103相间距离Ⅰ段动作
176,76,449,16,170,449,ACT,1CSC103相间距离Ⅱ段动作
176,77,450,16,171,450,ACT,1CSC103相间距离Ⅲ段动作
176,78,451,16,172,451,ACT,1CSC103PT断线零序动作
176,79,452,16,173,452,ACT,1CSC103PT断线相过流动作
176,95,374,16,95,374,ACT,1CSC103保护动作
